"word","n","sentiment"
"harry",5,"anger"
"outrage",2,"anger"
"riot",2,"anger"
"bye",1,"anticipation"
"enjoying",1,"anticipation"
"excited",1,"anticipation"
"hog",1,"disgust"
"murder",1,"disgust"
"outrage",2,"disgust"
"avalanche",1,"fear"
"combat",1,"fear"
"gang",1,"fear"
"amazingly",1,"joy"
"enjoying",1,"joy"
"excited",1,"joy"
"harry",5,"negative"
"outrage",2,"negative"
"riot",2,"negative"
"attention",2,"positive"
"forward",2,"positive"
"worth",2,"positive"
"avalanche",1,"sadness"
"bottom",1,"sadness"
"harry",5,"sadness"
"amazingly",1,"surprise"
"avalanche",1,"surprise"
"excited",1,"surprise"
"enjoying",1,"trust"
"excited",1,"trust"
"loving",1,"trust"
